0.9935  0.9947  0.9962  0.9947  0.9958  0.9964  0.9962  0.9947  0.9958  0.9965
0.9833  0.9878  0.9900  0.9871  0.9876  0.9882  0.9867  0.9909  0.9862  0.9893
0.9695  0.9656  0.9745  0.9776  0.9689  0.9724  0.9655  0.9736  0.9733  0.9733
0.8024  0.8082  0.8116  0.7971  0.8029  0.8085  0.8029  0.8035  0.8045  0.8142
0.5475  0.5489  0.5505  0.5438  0.5291  0.5422  0.5420  0.5473  0.5460  0.5453
0.5438  0.5438  0.5629  0.5536  0.5445  0.5605  0.5316  0.5544  0.5475  0.5622
0.1989  0.2033  0.2018  0.1891  0.1935  0.2016  0.1875  0.1907  0.1929  0.1927
0.3293  0.3316  0.3505  0.3211  0.3335  0.3407  0.3269  0.3325  0.3373  0.3222
0.1636  0.1558  0.1604  0.1651  0.1638  0.1696  0.1687  0.1695  0.1627  0.1713
0.1069  0.1058  0.1045  0.1011  0.0955  0.1060  0.0951  0.1020  0.1045  0.1036
0.1882  0.1887  0.1873  0.1784  0.1800  0.1920  0.1756  0.1864  0.1913  0.1895
0.1069  0.1058  0.1045  0.1011  0.0955  0.1060  0.0951  0.1020  0.1045  0.1036
0.1069  0.1058  0.1045  0.1011  0.0955  0.1060  0.0951  0.1020  0.1045  0.1036
0.1007  0.0933  0.0945  0.1027  0.1004  0.1004  0.1025  0.1016  0.0989  0.0995
0.1069  0.1058  0.1045  0.1011  0.0955  0.1060  0.0951  0.1020  0.1045  0.1036
0.1069  0.1058  0.1045  0.1011  0.0955  0.1060  0.0951  0.1020  0.1045  0.1036
0.1007  0.0933  0.0945  0.1027  0.1004  0.1004  0.1025  0.1016  0.0989  0.0995
0.1007  0.0933  0.0945  0.1027  0.1004  0.1004  0.1025  0.1016  0.0989  0.0995
0.1007  0.0933  0.0945  0.1027  0.1004  0.1004  0.1025  0.1016  0.0989  0.0995
0.1007  0.0933  0.0945  0.1027  0.1004  0.1004  0.1025  0.1016  0.0989  0.0995
