0.9935	0.9947	0.9962	0.9947	0.9958	0.9964	0.9962	0.9947	0.9958	0.9965
0.9915	0.9935	0.9936	0.9924	0.9936	0.9940	0.9911	0.9922	0.9938	0.9958
0.9813	0.9844	0.9856	0.9853	0.9820	0.9853	0.9855	0.9836	0.9851	0.9865
0.9753	0.9789	0.9815	0.9789	0.9767	0.9771	0.9771	0.9738	0.9740	0.9820
0.9473	0.9493	0.9555	0.9536	0.9509	0.9569	0.9484	0.9489	0.9491	0.9615
0.9442	0.9445	0.9491	0.9440	0.9438	0.9489	0.9515	0.9436	0.9451	0.9540
0.9356	0.9389	0.9471	0.9429	0.9333	0.9484	0.9353	0.9375	0.9360	0.9502
0.9380	0.9389	0.9407	0.9460	0.9385	0.9376	0.9344	0.9345	0.9393	0.9478
0.8716	0.8740	0.8738	0.8685	0.8718	0.8715	0.8827	0.8771	0.8765	0.8944
0.9015	0.8969	0.9107	0.9005	0.9004	0.9013	0.9064	0.9035	0.8989	0.9258
0.8147	0.8225	0.8229	0.8227	0.8144	0.8300	0.8220	0.8238	0.8169	0.8565
0.7255	0.7227	0.7296	0.7331	0.7240	0.7405	0.7387	0.7276	0.7273	0.7542
0.6853	0.6847	0.6831	0.6824	0.6722	0.7029	0.6856	0.7000	0.6764	0.7089
0.5642	0.5844	0.5756	0.5747	0.5744	0.5795	0.5784	0.5716	0.5565	0.5816
0.5582	0.5560	0.5602	0.5844	0.5395	0.5687	0.5585	0.5653	0.5549	0.5669
0.3951	0.3905	0.3796	0.3967	0.3787	0.3860	0.3925	0.3965	0.3795	0.3955
0.3575	0.3415	0.3347	0.3613	0.3356	0.3380	0.3609	0.3487	0.3378	0.3440
0.3040	0.2913	0.2995	0.2973	0.2909	0.2918	0.2978	0.2893	0.2882	0.3018
0.2402	0.2329	0.2342	0.2449	0.2360	0.2320	0.2364	0.2336	0.2345	0.2282
0.1265	0.1240	0.1291	0.1244	0.1291	0.1289	0.1307	0.1320	0.1285	0.1378
