Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Nodes keep percentage is :  1.0
** Start training **
Epoch #2 cost=0.030768
Epoch #3 cost=0.026806
Epoch #4 cost=0.025567
Epoch #5 cost=0.024864
Epoch #6 cost=0.024112
Epoch #7 cost=0.023415
Epoch #8 cost=0.022836
Epoch #9 cost=0.022369
Epoch #10 cost=0.022129
Epoch #11 cost=0.021885
Epoch #12 cost=0.021656
Epoch #13 cost=0.021473
Epoch #14 cost=0.021259
Epoch #15 cost=0.021094
Epoch #16 cost=0.020861
Epoch #17 cost=0.020716
Epoch #18 cost=0.020479
Epoch #19 cost=0.020353
Epoch #20 cost=0.020139
Epoch #21 cost=0.020046
Epoch #22 cost=0.019844
Epoch #23 cost=0.019761
Epoch #24 cost=0.019595
Epoch #25 cost=0.019548
Epoch #26 cost=0.019451
Epoch #27 cost=0.019470
Epoch #28 cost=0.019267
Epoch #29 cost=0.019222
Epoch #30 cost=0.019005
Epoch #31 cost=0.019046
Epoch #32 cost=0.018771
Epoch #33 cost=0.018903
Epoch #34 cost=0.018531
Epoch #35 cost=0.018520
Epoch #36 cost=0.018376
Epoch #37 cost=0.018467
Epoch #38 cost=0.018146
Epoch #39 cost=0.018217
Epoch #40 cost=0.017969
Epoch #41 cost=0.018119
Epoch #42 cost=0.017833
Epoch #43 cost=0.018035
Epoch #44 cost=0.017752
Epoch #45 cost=0.018032
Epoch #46 cost=0.017599
Epoch #47 cost=0.017804
Epoch #48 cost=0.017379
Epoch #49 cost=0.017560
** Start training **
Epoch #0 cost=0.040963
Epoch #1 cost=0.033724
Epoch #2 cost=0.027797
Epoch #3 cost=0.025357
Epoch #4 cost=0.024254
Epoch #5 cost=0.023433
Epoch #6 cost=0.022666
Epoch #7 cost=0.022114
Epoch #8 cost=0.021684
Epoch #9 cost=0.021429
Epoch #10 cost=0.021205
Epoch #11 cost=0.021009
Epoch #12 cost=0.020800
Epoch #13 cost=0.020590
Epoch #14 cost=0.020386
Epoch #15 cost=0.020204
Epoch #16 cost=0.019968
Epoch #17 cost=0.019804
Epoch #18 cost=0.019593
Epoch #19 cost=0.019401
Epoch #20 cost=0.019221
Epoch #21 cost=0.019030
Epoch #22 cost=0.018872
Epoch #23 cost=0.018675
Epoch #24 cost=0.018539
Epoch #25 cost=0.018389
Epoch #26 cost=0.018252
Epoch #27 cost=0.018143
Epoch #28 cost=0.018030
Epoch #29 cost=0.017944
Epoch #30 cost=0.017857
Epoch #31 cost=0.017856
Epoch #32 cost=0.017778
Epoch #33 cost=0.017908
Epoch #34 cost=0.017903
Epoch #35 cost=0.018097
Epoch #36 cost=0.017974
Epoch #37 cost=0.018238
Epoch #38 cost=0.017908
Epoch #39 cost=0.018194
Epoch #40 cost=0.017807
Epoch #41 cost=0.018175
Epoch #42 cost=0.017494
Epoch #43 cost=0.017746
Epoch #44 cost=0.017233
Epoch #45 cost=0.017598
Epoch #46 cost=0.017156
Epoch #47 cost=0.017496
Epoch #48 cost=0.016968
Epoch #49 cost=0.017319
** Start training **
Epoch #0 cost=0.041685
Epoch #1 cost=0.034811
Epoch #2 cost=0.029404
Epoch #3 cost=0.025191
Epoch #4 cost=0.023909
Epoch #5 cost=0.023003
Epoch #6 cost=0.022221
Epoch #7 cost=0.021642
Epoch #8 cost=0.021321
Epoch #9 cost=0.021067
Epoch #10 cost=0.020885
Epoch #11 cost=0.020680
Epoch #12 cost=0.020477
Epoch #13 cost=0.020284
Epoch #14 cost=0.020070
Epoch #15 cost=0.019874
Epoch #16 cost=0.019656
Epoch #17 cost=0.019473
Epoch #18 cost=0.019270
Epoch #19 cost=0.019105
Epoch #20 cost=0.018907
Epoch #21 cost=0.018760
Epoch #22 cost=0.018605
Epoch #23 cost=0.018485
Epoch #24 cost=0.018362
Epoch #25 cost=0.018246
Epoch #26 cost=0.018144
Epoch #27 cost=0.018050
Epoch #28 cost=0.017946
Epoch #29 cost=0.017900
Epoch #30 cost=0.017782
Epoch #31 cost=0.017877
Epoch #32 cost=0.017648
Epoch #33 cost=0.017810
Epoch #34 cost=0.017458
Epoch #35 cost=0.017608
Epoch #36 cost=0.017330
Epoch #37 cost=0.017508
Epoch #38 cost=0.017092
Epoch #39 cost=0.016955
Epoch #40 cost=0.016807
Epoch #41 cost=0.016550
Epoch #42 cost=0.016560
Epoch #43 cost=0.016233
Epoch #44 cost=0.016321
Epoch #45 cost=0.016048
Epoch #46 cost=0.016161
Epoch #47 cost=0.015953
Epoch #48 cost=0.016093
Epoch #49 cost=0.015881
** Start training **
Epoch #0 cost=0.040756
Epoch #1 cost=0.034362
Epoch #2 cost=0.028828
Epoch #3 cost=0.025414
Epoch #4 cost=0.024232
Epoch #5 cost=0.023477
Epoch #6 cost=0.022725
Epoch #7 cost=0.022040
Epoch #8 cost=0.021484
Epoch #9 cost=0.021205
Epoch #10 cost=0.020970
Epoch #11 cost=0.020757
Epoch #12 cost=0.020535
Epoch #13 cost=0.020340
Epoch #14 cost=0.020105
Epoch #15 cost=0.019926
Epoch #16 cost=0.019668
Epoch #17 cost=0.019508
Epoch #18 cost=0.019266
Epoch #19 cost=0.019096
Epoch #20 cost=0.018868
Epoch #21 cost=0.018718
Epoch #22 cost=0.018525
Epoch #23 cost=0.018416
Epoch #24 cost=0.018259
Epoch #25 cost=0.018219
Epoch #26 cost=0.018058
Epoch #27 cost=0.018127
Epoch #28 cost=0.017954
Epoch #29 cost=0.018120
Epoch #30 cost=0.017881
Epoch #31 cost=0.018063
Epoch #32 cost=0.017787
Epoch #33 cost=0.018045
Epoch #34 cost=0.017672
Epoch #35 cost=0.017947
Epoch #36 cost=0.017439
Epoch #37 cost=0.017633
Epoch #38 cost=0.017267
Epoch #39 cost=0.017529
Epoch #40 cost=0.017165
Epoch #41 cost=0.017509
Epoch #42 cost=0.017035
Epoch #43 cost=0.017352
Epoch #44 cost=0.016877
Epoch #45 cost=0.017194
Epoch #46 cost=0.016778
Epoch #47 cost=0.017139
Epoch #48 cost=0.016638
Epoch #49 cost=0.016977
** Start training **
Epoch #0 cost=0.040752
Epoch #1 cost=0.034828
Epoch #2 cost=0.029749
Epoch #3 cost=0.025681
Epoch #4 cost=0.024245
Epoch #5 cost=0.023486
Epoch #6 cost=0.022748
Epoch #7 cost=0.022071
Epoch #8 cost=0.021672
Epoch #9 cost=0.021270
Epoch #10 cost=0.021034
Epoch #11 cost=0.020760
Epoch #12 cost=0.020510
Epoch #13 cost=0.020222
Epoch #14 cost=0.020002
Epoch #15 cost=0.019735
Epoch #16 cost=0.019561
Epoch #17 cost=0.019295
Epoch #18 cost=0.019129
Epoch #19 cost=0.018884
Epoch #20 cost=0.018728
Epoch #21 cost=0.018527
Epoch #22 cost=0.018372
Epoch #23 cost=0.018176
Epoch #24 cost=0.018050
Epoch #25 cost=0.017887
Epoch #26 cost=0.017866
Epoch #27 cost=0.017715
Epoch #28 cost=0.017769
Epoch #29 cost=0.017672
Epoch #30 cost=0.017891
Epoch #31 cost=0.017666
Epoch #32 cost=0.017942
Epoch #33 cost=0.017471
Epoch #34 cost=0.017704
Epoch #35 cost=0.017248
Epoch #36 cost=0.017465
Epoch #37 cost=0.017135
Epoch #38 cost=0.017315
Epoch #39 cost=0.016908
Epoch #40 cost=0.017064
Epoch #41 cost=0.016706
Epoch #42 cost=0.016960
Epoch #43 cost=0.016635
Epoch #44 cost=0.016893
Epoch #45 cost=0.016490
Epoch #46 cost=0.016756
Epoch #47 cost=0.016271
Epoch #48 cost=0.016558
Epoch #49 cost=0.016101
** Start training **
Epoch #0 cost=0.001569
Epoch #1 cost=0.001440
Epoch #2 cost=0.001268
Epoch #3 cost=0.001199
Epoch #4 cost=0.001125
Epoch #5 cost=0.001051
Epoch #6 cost=0.001004
Epoch #7 cost=0.000971
Epoch #8 cost=0.000930
Epoch #9 cost=0.000903
Epoch #10 cost=0.000864
Epoch #11 cost=0.000834
Epoch #12 cost=0.000801
Epoch #13 cost=0.000781
Epoch #14 cost=0.000752
Epoch #15 cost=0.000734
Epoch #16 cost=0.000719
Epoch #17 cost=0.000702
