1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
0.9996  1.0000  0.9996  0.9998  0.9998  0.9998  1.0000  0.9998  1.0000  0.9998
0.9987  0.9995  0.9995  0.9993  0.9987  0.9989  0.9985  0.9993  0.9995  0.9995
0.9958  0.9982  0.9958  0.9973  0.9991  0.9980  0.9964  0.9976  0.9976  0.9982
0.9953  0.9969  0.9942  0.9953  0.9973  0.9956  0.9953  0.9945  0.9944  0.9965
0.9927  0.9955  0.9915  0.9918  0.9945  0.9938  0.9933  0.9942  0.9925  0.9945
0.0949  0.9920  0.9909  0.9925  0.9920  0.9920  0.9896  0.9895  0.9913  0.9933
0.9851  0.9900  0.9893  0.9895  0.9882  0.9898  0.9871  0.9867  0.9878  0.9909
0.9847  0.9907  0.9867  0.9885  0.9876  0.9873  0.9845  0.9845  0.9869  0.9902
0.9802  0.9876  0.9822  0.9876  0.9838  0.9855  0.9813  0.9813  0.9840  0.9876
0.9815  0.9865  0.9822  0.9825  0.9829  0.9853  0.9782  0.9818  0.9805  0.9853
0.9807  0.9844  0.9811  0.9835  0.9805  0.9824  0.9785  0.9775  0.9791  0.9853
0.9784  0.9811  0.9787  0.9789  0.9773  0.9809  0.9776  0.9767  0.9784  0.9827
0.9747  0.9796  0.9740  0.9769  0.9756  0.9789  0.9753  0.9740  0.9765  0.9805
0.9745  0.9776  0.9762  0.0936  0.9760  0.9787  0.9724  0.9735  0.9751  0.9785
0.9718  0.9758  0.9700  0.9744  0.9722  0.9749  0.9725  0.9722  0.9718  0.9805
0.9618  0.9707  0.9682  0.8215  0.9645  0.9713  0.9671  0.9675  0.9229  0.9751
0.9615  0.9636  0.9595  0.9605  0.9576  0.9611  0.9573  0.9578  0.9540  0.9682
0.9227  0.9171  0.9309  0.9365  0.9355  0.9425  0.9347  0.9413  0.9260  0.9520
0.1038  0.1038  0.0998  0.1024  0.1027  0.1004  0.1051  0.1049  0.1044  0.1056
