0.9942	0.9951	0.9931	0.9947	0.9920	0.9931	0.9925	0.9944	0.9955	0.9962
0.9044	0.8980	0.8933	0.8925	0.8945	0.8949	0.8969	0.8935	0.9002	0.8965
0.9831	0.9840	0.9811	0.9824	0.9804	0.9820	0.9856	0.9815	0.9831	0.9875
0.8398	0.8453	0.8440	0.8436	0.8376	0.8440	0.8416	0.8384	0.8378	0.8507
0.9382	0.9411	0.9480	0.9438	0.9396	0.9451	0.9371	0.9413	0.9389	0.9475
0.6129	0.5962	0.5969	0.6109	0.5929	0.6055	0.6007	0.5969	0.6062	0.5989
0.7027	0.7018	0.6984	0.7100	0.7015	0.7095	0.6991	0.7125	0.7136	0.7160
0.8836	0.8909	0.8851	0.8805	0.8789	0.8822	0.8782	0.8807	0.8833	0.8865
0.7302	0.7333	0.7204	0.7140	0.7224	0.7207	0.7227	0.7158	0.7205	0.7169
0.6227	0.6304	0.6376	0.6351	0.6251	0.6315	0.6224	0.6227	0.6211	0.6271
0.6938	0.6956	0.6895	0.7015	0.6896	0.6898	0.6987	0.6960	0.6949	0.7047
0.5955	0.5836	0.5713	0.5882	0.5742	0.5833	0.5809	0.5864	0.5933	0.5907
0.4824	0.4911	0.4940	0.4945	0.4831	0.4920	0.4773	0.4829	0.4845	0.4864
0.6109	0.5887	0.5905	0.5967	0.5855	0.5922	0.6016	0.5909	0.5907	0.5885
0.3153	0.3204	0.3236	0.3100	0.3140	0.3144	0.3073	0.3051	0.3065	0.3031
0.4060	0.4160	0.4180	0.4151	0.4196	0.4113	0.4144	0.4069	0.4011	0.4109
0.3016	0.2987	0.3064	0.3055	0.2940	0.3067	0.3035	0.3016	0.2958	0.2995
0.4518	0.4522	0.4555	0.4538	0.4447	0.4442	0.4438	0.4485	0.4507	0.4429
0.2189	0.2176	0.2213	0.2147	0.2091	0.2153	0.2120	0.2102	0.2116	0.2093
0.1071	0.1058	0.1049	0.1013	0.0955	0.1060	0.0953	0.1020	0.1047	0.1036
